ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc
44703169,43.8,25.4,0,0,0,-91.7,0,0,0,0,-3,0,0.0058,0,0.2612,0,-39216,40322,192.023,0,24,0.003,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703233,45.3,25.3,0,0,0,-92.9,0,0,0,0,-3,0,0.0058,0,0.2612,0,-39216,40322,188.616,0,24,0.003,0,44703170,0.0058,0,0.2612,0,2.419,136.987,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703288,44.7,25.4,0,0,0,-92.2,0,0,0,0,-2,0,0.0058,0,0.2612,0,-39216,40322,187.936,0,24,0.003,0,44703234,0.0058,0,0.2612,0,2.419,136.987,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703349,44.9,25.2,0,0,0,-91.1,0,0,0,0,-2,0,0.0058,0,0.2612,0,-39216,40322,186.875,0,24,0.002,0,44703288,0.0058,0,0.2612,0,2.41,136.449,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703411,44.2,25.2,0,0,0,-88.5,0,0,0,0,-3,0,0.0058,0,0.2612,0,-39216,40322,185.49,0,24,0.002,0,44703349,0.0058,0,0.2612,0,2.413,136.641,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703471,45.1,25.7,0,0,0,-92.2,0,0,0,0,-1,0,0.0058,0,0.2612,0,-39216,40322,185.417,0,24,0.003,0,44703411,0.0058,0,0.2612,0,2.475,140.142,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703532,44.3,25.2,0,0,0,-91.2,0,0,0,0,0,0,0.0058,0,0.2612,0,-39216,40322,185.8,0,24,0.003,0,44703472,0.0058,0,0.2612,0,2.428,137.487,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703591,45.4,25.5,0,0,0,-91.4,0,0,0,0,-2,0,0.0058,0,0.2612,0,-39216,40322,184.495,0,24,0.002,0,44703532,0.0058,0,0.2612,0,2.485,140.68,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703671,43.9,25.4,0,0,0,-93.4,0,0,0,0,-2,0,0.0058,0,0.2612,0,-39216,40322,183.299,0,24,0.003,0,44703591,0.0058,0,0.2612,0,2.411,136.487,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
44703747,43.9,25.6,0,0,0,-94.6,0,0,0,0,-2,0,0.0058,0,0.2612,0,-39216,40322,182.865,0,24,0.002,0,44703671,0.0058,0,0.2612,0,2.444,138.372,0,0,0,-81.156,83.444,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
