ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc
67856593,24.6,23.9,0,0,0,-77.3,0.46,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67856714,25.5,24.1,0,0,0,-87.4,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67856712,0.0003,0,0.0079,0,1.565,88.595,0,0.26,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67856798,25.3,24.1,0,0,0,-86.7,0.46,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67856712,0.0003,0,0.0079,0,1.565,88.595,0,0.26,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67856865,24.5,23.2,0,0,0,-75.5,0.44,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67856799,0.0003,0,0.0079,0,1.55,87.749,0,-0.09,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67856934,25.4,24.7,0,0,0,-81.2,0.46,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67856865,0.0003,0,0.0079,0,1.548,87.633,0,0.75,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857025,24.7,24,0,0,0,-86,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67856935,0.0003,0,0.0079,0,1.542,87.325,0,0.34,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857107,25.4,24.1,0,0,0,-87,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857025,0.0003,0,0.0079,0,1.556,88.095,0,0.66,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857181,25.2,23.9,0,0,0,-89.8,0.49,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857108,0.0003,0,0.0079,0,1.558,88.21,0,-0.2,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857275,24.7,24.1,0,0,0,-88.5,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857181,0.0003,0,0.0079,0,1.55,87.787,0,0.48,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857373,24.7,24,0,0,0,-81.6,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857276,0.0003,0,0.0079,0,1.579,89.441,0,-0.61,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857451,25.2,23.7,0,0,0,-79.2,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857373,0.0003,0,0.0079,0,1.58,89.48,0,-0.34,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857491,25.1,24.2,0,0,0,-80.8,0.47,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857452,0.0003,0,0.0079,0,1.552,87.864,0,-0.29,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857552,25.2,24.1,0,0,0,-83.4,0.46,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857491,0.0003,0,0.0079,0,1.587,89.864,0,-0.18,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857592,25.2,23.9,0,0,0,-83.4,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857571,0.0003,0,0.0079,0,1.542,87.325,0,0.51,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857634,25.5,23.8,0,0,0,-77.3,0.45,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857571,0.0003,0,0.0079,0,1.542,87.325,0,0.51,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857676,25.2,23.8,0,0,0,-77.1,0.44,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857643,0.0003,0,0.0079,0,1.569,88.826,0,0.92,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857719,24.7,24.2,0,0,0,-81.2,0.46,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857676,0.0003,0,0.0079,0,1.579,89.441,0,0.21,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
67857771,25.2,24.1,0,0,0,-82.8,0.48,0,0,0,0,0,0.0003,0,0.0079,0,2066,2066,0,0,24,0,0,67857719,0.0003,0,0.0079,0,1.557,88.172,0,0.49,0,4.275,4.275,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
