ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc
65703322,24.5,26.4,0,0,0,-88.8,-0.03,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703434,25.4,26.4,0,0,0,-87.4,0.01,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703432,0.17,0,4.0734,0,1.576,89.249,0,-0.2,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703473,24.5,26.2,0,0,0,-85.8,0,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703432,0.17,0,4.0734,0,1.576,89.249,0,-0.2,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703533,24.7,26.4,0,0,0,-87.4,0.08,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703473,0.17,0,4.0734,0,1.543,87.364,0,0.15,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703598,24.9,26.3,0,0,0,-86.5,-0.04,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703533,0.17,0,4.0734,0,1.56,88.326,0,0.06,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703670,24.5,26.5,0,0,0,-86.4,-0.02,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703598,0.17,0,4.0734,0,1.543,87.364,0,0.65,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703790,24.7,26.3,0,0,0,-85.8,0,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703671,0.17,0,4.0734,0,1.573,89.057,0,-0.78,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703865,24.4,26.3,0,0,0,-85.1,-0.02,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703790,0.17,0,4.0734,0,1.569,88.864,0,-0.28,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65703936,24.6,26.1,0,0,0,-86.1,-0.01,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703865,0.17,0,4.0734,0,1.544,87.441,0,0.28,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65704007,24.4,26.3,0,0,0,-86.3,0,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65703937,0.17,0,4.0734,0,1.571,88.941,0,0.35,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
65704097,25,26.1,0,0,0,-82.2,-0.03,0,0,0,0,0,0.17,0,4.0734,0,266983,274563,0,0,24,0,0,65704007,0.17,0,4.0734,0,1.538,87.095,0,-0.03,0,552.511,568.197,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
